"x","y","pch","cex","col","members","midpoint","height","leaf","label","parent"
86,0,19,0.5,"#FF554D",1,NA,0,TRUE,"Pvalb Akr1c18 Ntf3","n116"
87,0,19,0.5,"#D6221D",1,NA,0,TRUE,"Pvalb Sema3e Kank4","n116"
88,0,19,0.5,"#E62A5D",1,NA,0,TRUE,"Pvalb Gpr149 Islr","n115"
89.75,0.0551502653673741,NA,NA,NA,3,0.75,0.0551502653673741,NA,"n112","n111"
89,0,19,0.5,"#D6221D",1,NA,0,TRUE,"Pvalb Reln Itm2a","n112"
90.5,0.0468791552085636,NA,NA,NA,2,0.5,0.0468791552085636,NA,"n113","n112"
90,0,19,0.5,"#D6221D",1,NA,0,TRUE,"Pvalb Reln Tac1","n113"
91,0,19,0.5,"#AF3F64",1,NA,0,TRUE,"Pvalb Tpbg","n113"
92,0,19,0.5,"#FF197F",1,NA,0,TRUE,"Pvalb Vipr2","n109"
93,0,19,0.5,"#FF0000",1,NA,0,TRUE,"Meis2 Adamts19","n3"
